identity,XGW_1,XGW_201,XGW_202,XGW_203,XGW_204,XGW_205,XGW_206,XGW_207,XGW_208,XGW_209,XGW_210,XGW_211,XGW_2_rb01,XGW_2_rb02,XGW_2_rb03,XGW_2_rb04,XGW_2_rb05,XGW_2_rb06,XGW_2_rb07,XGW_2_rb08,XGW_2_rb09,XGW_2_rb10,XGW_2_rb11,gender,age,region,income_v2,inputstate,child18,employ,newsint,student,race,educ,marstat,hholdsize,ideo5,votereg,social_nets_mem01,social_nets_mem02,social_nets_mem03,social_nets_mem04,social_nets_mem05,social_nets_mem06,social_nets_mem07,social_nets_mem08,social_nets_mem09,social_nets_mem10,social_nets_mem11,social_nets_mem12,social_nets_mem13,social_nets_mem14,weight_nat
2143839,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,75,3,13,12,2,5,1,3,1,2,1,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8243934043
2143918,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,70,2,4,27,2,5,2,3,1,5,3,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.744000009
2151473,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,50,3,10,40,2,1,1,3,1,5,1,2,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.8349091076
2152114,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,68,3,11,48,2,1,1,3,1,4,1,2,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7672000061
2155602,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,35,3,97,48,1,1,1,3,2,5,6,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671999988
2157668,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,74,3,10,47,2,5,1,3,1,5,1,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.744000009
2174168,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,71,3,4,54,2,5,1,3,1,2,1,2,3,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0.8356923361
2175384,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,76,3,97,21,2,5,1,3,1,2,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8243934043
2176430,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,62,4,97,4,2,5,2,3,1,3,1,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7137627132
2177094,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,63,1,2,36,2,5,3,3,1,2,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7519999728
2195592,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,62,1,9,9,2,1,2,3,1,3,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.7502221883
2200045,3,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2,59,3,6,11,2,5,1,3,1,5,4,3,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.8349091076
2204839,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,2,76,4,97,6,2,5,1,3,1,3,3,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6539354661
2225548,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,63,4,10,4,2,5,1,3,7,5,1,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8923871111
2226926,3,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,74,4,4,4,2,5,1,3,1,2,6,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8356923361
2232228,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,53,4,14,6,2,1,1,3,1,3,1,2,5,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.7137627132
2240004,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,57,2,9,20,2,1,1,3,1,6,2,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8467199974
2243174,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,71,3,9,37,2,1,1,1,1,5,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744000009
2253381,3,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,59,1,6,42,2,2,1,3,1,5,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8923871111
2255112,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,73,3,3,48,2,5,2,3,1,3,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7672000061
2255380,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,46,3,97,24,2,1,1,3,1,5,1,4,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8923871111
2263901,3,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,71,3,9,51,2,5,1,3,1,2,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8356923361
2282591,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,59,3,4,47,2,1,2,3,2,4,5,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7025454552
2284910,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,66,3,2,48,2,5,2,3,1,2,1,2,4,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0.8356923361
2301048,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2,62,3,4,48,2,5,1,3,3,5,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8586666861
2301664,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,37,3,7,28,1,1,1,3,1,5,1,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7354666806
2303467,3,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2,62,4,3,53,2,5,1,3,1,3,4,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7502221883
2305073,3,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,56,3,9,54,1,1,1,3,1,6,3,3,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8467199974
2306070,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,69,2,6,26,2,5,1,3,7,4,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7672000061
2315897,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,68,1,5,36,2,5,1,3,1,2,1,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.8243934043
2328461,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,56,4,3,15,2,6,1,3,1,5,1,2,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.8923871111
2337610,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,42,2,1,18,2,2,2,3,2,6,5,1,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.7840000068
2340915,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,43,1,5,9,1,1,1,3,1,2,1,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24444445
2344638,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,75,3,9,51,2,5,1,3,1,6,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6800000221
2344660,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,57,3,13,12,1,1,2,1,1,3,2,3,3,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.7502221883
2346512,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,59,1,7,36,2,5,1,3,1,4,3,2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7137627132
2372443,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,58,3,8,12,2,1,1,3,1,5,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8923871111
2375619,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,57,4,9,6,2,1,1,3,3,3,1,2,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1.586666718
2380793,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,53,1,11,36,2,1,1,1,1,2,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7941817926
2393579,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,36,3,10,21,1,1,1,3,1,5,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7354666806
2409199,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,61,3,2,48,2,1,1,3,3,3,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.586666718
2419041,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,34,2,4,39,1,7,1,3,1,2,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8281212352
2425889,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,68,4,6,35,2,5,1,3,1,6,1,2,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6800000221
2428821,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,2,63,3,5,1,2,1,2,3,1,3,1,2,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7502221883
2437193,3,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,2,76,2,3,29,2,5,2,3,1,2,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8243934043
2468747,3,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,2,59,4,3,35,2,5,1,3,1,5,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8349091076
2472847,3,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,2,56,2,97,17,2,5,1,3,1,5,1,2,5,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0.8349091076
2478488,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,79,3,7,37,2,5,1,3,1,2,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8356923361
2478934,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,42,4,9,41,1,1,1,3,1,6,1,4,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.9258666779
2481570,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,39,3,13,37,2,1,2,2,1,4,1,2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7895999848
2489692,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,74,3,97,24,1,5,1,3,1,6,1,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.6800000221
2504234,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,64,3,97,1,2,5,1,3,1,3,1,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7137627132
2525654,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,28,2,4,39,2,1,2,3,1,5,5,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.12861534
2533112,3,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,59,4,10,6,2,1,1,3,3,6,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.063999991
2576941,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,59,1,10,25,2,1,1,3,1,2,1,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7941817926
2594553,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,74,3,6,47,2,5,1,3,1,2,1,2,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.8356923361
2598224,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,39,3,12,51,1,9,1,3,1,5,1,4,2,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0.7354666806
2637044,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,47,2,3,29,1,6,1,3,7,3,1,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7137627132
2654272,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,56,2,6,39,2,7,2,3,1,2,1,2,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7519999728
2654879,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,44,4,4,41,2,1,1,2,1,6,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9258666779
11006992,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,61,4,7,53,2,2,1,3,1,3,1,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7137627132
11020413,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,37,1,10,36,2,1,1,3,7,3,1,2,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0.7895999848
11030731,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,36,4,6,6,2,1,1,3,1,3,5,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.7895999848
11035390,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,2,63,4,97,6,2,1,1,3,1,6,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.642962946
11040089,4,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,61,1,14,36,2,1,1,3,1,6,1,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.8467199974
11041716,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2,57,3,31,47,2,1,1,3,1,6,6,2,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.642962946
11050622,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,50,4,9,53,2,1,1,3,1,3,1,4,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.7137627132
11052545,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,59,3,4,1,1,1,1,3,1,4,3,3,5,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0.7137627132
11056546,3,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,2,41,2,10,18,1,2,1,3,1,3,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7280000083
11057706,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2,64,2,11,17,2,1,1,3,1,5,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8349091076
11081023,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,57,4,5,30,2,7,1,3,1,1,6,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7941817926
11083476,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2,58,4,12,8,2,5,1,3,1,5,1,2,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.8349091076
11090327,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,49,3,9,40,2,1,2,3,1,6,1,2,2,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0.642962946
11109123,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,35,2,5,17,1,1,1,3,1,5,1,4,4,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.7354666806
11110082,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,49,4,97,6,1,1,3,3,1,3,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7502221883
11114943,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,50,3,7,12,1,7,1,3,1,3,1,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7502221883
11127264,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,2,68,1,97,42,2,4,2,3,1,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8243934043
11128327,3,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2,55,3,1,51,2,4,2,3,2,3,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7025454552
11135092,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2,47,4,97,41,1,1,1,3,1,6,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.642962946
11142577,3,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,42,2,8,39,2,1,1,3,1,2,1,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.24444445
11144926,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,57,2,8,18,2,1,1,3,1,6,1,2,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.8467199974
11145737,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,48,2,7,55,2,1,1,3,1,2,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7941817926
11146588,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,76,4,97,53,2,5,1,3,6,6,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6800000221
11169646,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2,80,3,3,48,2,5,1,3,1,2,4,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8243934043
11172056,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,66,2,5,19,2,5,1,3,1,2,5,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8356923361
11175847,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2,66,3,97,51,2,5,1,2,1,3,1,2,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.6539354661
11180338,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2,56,1,12,36,2,1,1,3,1,5,3,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.8349091076
11201815,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,61,3,11,51,2,1,1,3,1,3,1,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7137627132
11207515,3,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2,44,1,9,25,2,1,1,3,4,6,5,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.400000006
11217813,3,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,76,4,3,49,2,5,1,3,1,2,1,2,4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.8356923361
11219254,3,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,63,2,9,20,2,5,1,3,1,3,1,2,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7137627132
11225451,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,53,3,10,48,1,1,1,1,1,6,1,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8467199974
11228935,3,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,62,2,97,39,2,5,1,3,1,2,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7941817926
11232840,3,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2,75,3,2,47,2,5,1,3,1,2,3,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8243934043
11238105,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1,65,4,97,6,2,5,4,3,7,5,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.744000009
11239680,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,71,1,6,25,2,5,1,3,1,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6539354661
11243135,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,43,4,8,6,2,4,1,3,1,6,3,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9258666779
11245105,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,34,1,9,34,2,1,1,2,1,5,6,2,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0.8138666952
11252211,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2,65,2,97,39,2,5,2,3,1,4,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6539354661
11252373,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,46,3,8,24,2,1,1,3,2,5,5,1,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1.75466667
